condition,position,frame,flow_u,flow_v,magnitude
RIF10,209,88,1.9236646,-0.3976555,0.82172245
RIF10,209,90,-0.23738335,-1.7276803,1.022381
RIF10,209,92,-1.4354163,2.338716,1.7764355
RIF10,209,94,-0.019469438,0.030166145,0.36339822
RIF10,209,96,1.1650993,-1.2971946,0.57840586
RIF10,209,98,0.49336764,0.30786914,0.5022761
RIF10,209,100,0.67794454,0.10705924,1.2203076
RIF10,209,102,-0.5300986,-1.3660866,0.8818311
RIF10,209,104,0.6138656,-0.36799717,0.45131424
RIF10,209,106,0.050939705,-0.014845589,0.3191058
RIF10,209,108,-0.2442261,-0.52387637,0.42544326
